,ID,taxon,shortname,definition
0,hsa,9606,human,homo sapiens (human)
1,ptr,9598,pantr,pan troglodytes (chimpanzee)
2,pps,9597,,pan paniscus (bonobo)
3,ggo,9595,gorgo,gorilla gorilla gorilla (western lowland gorilla)
4,pon,9601,,pongo abelii (sumatran orangutan)
5,nle,61853,nomle,nomascus leucogenys (northern white-cheeked gibbon)
6,mcc,9544,macmu,macaca mulatta (rhesus monkey)
7,mcf,9541,macfa,macaca fascicularis (crab-eating macaque)
8,csab,60711,,chlorocebus sabaeus (green monkey)
9,rro,61622,rhiro,rhinopithecus roxellana (golden snub-nosed monkey)
10,rbb,61621,,rhinopithecus bieti (black snub-nosed monkey)
11,cjc,9483,calja,callithrix jacchus (white-tufted-ear marmoset)
12,sbq,39432,,saimiri boliviensis boliviensis (bolivian squirrel monkey)
13,mmu,10090,mouse,mus musculus (house mouse)
14,mcal,10089,,mus caroli (ryukyu mouse)
15,mpah,10093,,mus pahari (shrew mouse)
16,rno,10116,rat,rattus norvegicus (norway rat)
17,mun,10047,,meriones unguiculatus (mongolian gerbil)
18,cge,10029,crigr,cricetulus griseus (chinese hamster)
19,ngi,1026970,nanga,nannospalax galili (upper galilee mountains blind mole rat)
20,hgl,10181,hetga,heterocephalus glaber (naked mole rat)
21,ccan,51338,,castor canadensis (american beaver)
22,ocu,9986,rabit,oryctolagus cuniculus (rabbit)
23,tup,246437,tupch,tupaia chinensis (chinese tree shrew)
24,cfa,9615,canfa,canis lupus familiaris (canis familiaris) (dog)
25,vvp,9627,,vulpes vulpes tamexaggressive cross (red fox)
26,aml,9646,ailme,ailuropoda melanoleuca (giant panda)
27,umr,29073,ursma,ursus maritimus (polar bear)
28,uah,116960,,ursus arctos horribilis
29,oro,9708,,odobenus rosmarus divergens (pacific walrus)
30,elk,391180,,enhydra lutris kenyoni (northern sea otter)
31,fca,9685,felca,felis catus (domestic cat)
32,ptg,74533,,panthera tigris altaica (amur tiger)
33,ppad,9691,,panthera pardus (leopard)
34,aju,32536,,acinonyx jubatus (cheetah)
35,bta,9913,bovin,bos taurus (cow)
36,bom,72004,,bos mutus (wild yak)
37,biu,9915,,bos indicus (zebu cattle)
38,bbub,89462,,bubalus bubalis (water buffalo)
39,chx,9925,caphi,capra hircus (goat)
40,oas,9940,sheep,ovis aries (sheep)
41,ssc,9823,pig,sus scrofa (pig)
42,cfr,419612,,camelus ferus (wild bactrian camel)
43,cdk,9838,,camelus dromedarius (arabian camel)
44,bacu,310752,balas,balaenoptera acutorostrata scammoni (minke whale)
45,lve,118797,lipve,lipotes vexillifer (yangtze river dolphin)
46,oor,9733,,orcinus orca (killer whale)
47,dle,9749,,delphinapterus leucas (beluga whale)
48,pcad,9755,,physeter catodon (sperm whale)
49,ecb,9796,horse,equus caballus (horse)
50,epz,9798,equpr,equus przewalskii (przewalski's horse)
51,eai,9793,equas,equus asinus (ass)
52,myb,109478,myobr,myotis brandtii (brandt's bat)
53,myd,225400,myods,myotis davidii
54,mna,291302,,miniopterus natalensis
55,hai,186990,,hipposideros armiger (great roundleaf bat)
56,dro,9430,,desmodus rotundus (common vampire bat)
57,pale,9402,pteal,pteropus alecto (black flying fox)
58,ray,9407,,rousettus aegyptiacus (egyptian rousette)
59,mjv,9974,,manis javanica (malayan pangolin)
60,lav,9785,,loxodonta africana (african savanna elephant)
61,tmu,127582,,trichechus manatus latirostris (florida manatee)
62,mdo,13616,mondo,monodelphis domestica (opossum)
63,shr,9305,sarha,sarcophilus harrisii (tasmanian devil)
64,pcw,38626,,phascolarctos cinereus (koala)
65,oaa,9258,ornan,ornithorhynchus anatinus (platypus)
66,gga,9031,chick,gallus gallus (chicken)
67,mgp,9103,,meleagris gallopavo (turkey)
68,cjo,93934,,coturnix japonica (japanese quail)
69,nmel,8996,,numida meleagris (helmeted guineafowl)
70,apla,8839,anapl,anas platyrhynchos (mallard)
71,acyg,381198,,anser cygnoides domesticus (swan goose)
72,tgu,59729,taegu,taeniopygia guttata (zebra finch)
73,lsr,299123,,lonchura striata domestica (bengalese finch)
74,scan,9135,,serinus canaria (common canary)
75,gfr,48883,,geospiza fortis (medium ground-finch)
76,fab,59894,fical,ficedula albicollis (collared flycatcher)
77,phi,181119,psehu,pseudopodoces humilis (tibetan ground-tit)
78,pmaj,9157,,parus major (great tit)
79,ccae,156563,,cyanistes caeruleus (blue tit)
80,ccw,932674,,corvus cornix cornix (hooded crow)
81,etl,164674,,empidonax traillii (willow flycatcher)
82,fpg,8954,,falco peregrinus (peregrine falcon)
83,fch,345164,,falco cherrug (saker falcon)
84,clv,8932,colli,columba livia (rock pigeon)
85,egz,188379,,egretta garzetta (little egret)
86,nni,128390,,nipponia nippon (crested ibis)
87,acun,194338,,athene cunicularia (burrowing owl)
88,padl,9238,,pygoscelis adeliae (adelie penguin)
89,aam,202946,,apteryx mantelli mantelli (brown kiwi)
90,asn,38654,allsi,alligator sinensis (chinese alligator)
91,amj,8496,allmi,alligator mississippiensis (american alligator)
92,pss,13735,pelsi,pelodiscus sinensis (chinese soft-shelled turtle)
93,cmy,8469,,chelonia mydas (green sea turtle)
94,cpic,8478,chrpi,chrysemys picta bellii (western painted turtle)
95,acs,28377,,anolis carolinensis (green anole)
96,pvt,103695,,pogona vitticeps (central bearded dragon)
97,pbi,176946,pytbi,python bivittatus (burmese python)
98,pmur,103944,,protobothrops mucrosquamatus (taiwan habu)
99,tsr,35019,,thamnophis sirtalis
100,pmua,64176,,podarcis muralis (common wall lizard)
101,gja,146911,,gekko japonicus
102,xla,8355,xenla,xenopus laevis (african clawed frog)
103,xtr,8364,xentr,xenopus (silurana) tropicalis (western clawed frog)
104,npr,125878,,nanorana parkeri
105,dre,7955,danre,danio rerio (zebrafish)
106,srx,307959,,sinocyclocheilus rhinocerous
107,sanh,1608454,,sinocyclocheilus anshuiensis
108,sgh,75366,,sinocyclocheilus grahami
109,ccar,7962,,cyprinus carpio (common carp)
110,ipu,7998,,ictalurus punctatus (channel catfish)
111,phyp,310915,,pangasianodon hypophthalmus (striped catfish)
112,amex,7994,,astyanax mexicanus (mexican tetra)
113,eee,8005,,electrophorus electricus (electric eel)
114,tru,31033,takru,takifugu rubripes (torafugu)
115,tng,99883,tetng,tetraodon nigroviridis (spotted green pufferfish)
116,lco,215358,,larimichthys crocea (large yellow croaker)
117,ncc,8208,,notothenia coriiceps (black rockcod)
118,mze,106582,,maylandia zebra (zebra mbuna)
119,onl,8128,,oreochromis niloticus (nile tilapia)
120,ola,8090,oryla,oryzias latipes (japanese medaka)
121,xma,8083,xipma,xiphophorus maculatus (southern platyfish)
122,xco,32473,,xiphophorus couchianus (monterrey platyfish)
123,pret,8081,,poecilia reticulata (guppy)
124,cvg,28743,,cyprinodon variegatus (sheepshead minnow)
125,nfu,105023,,nothobranchius furzeri (turquoise killifish)
126,kmr,37003,,kryptolebias marmoratus (mangrove rivulus)
127,alim,52670,,austrofundulus limnaeus (annual killifish)
128,aoce,80972,,amphiprion ocellaris (clown anemonefish)
129,csem,244447,,cynoglossus semilaevis (tongue sole)
130,pov,8255,,paralichthys olivaceus (japanese flounder)
131,lcf,8187,,lates calcarifer (barramundi perch)
132,sdu,41447,,seriola dumerili (greater amberjack)
133,slal,1841481,,seriola lalandi dorsalis (yellowtail amberjack)
134,hcq,109280,,hippocampus comes (tiger tail seahorse)
135,bpec,150288,,boleophthalmus pectinirostris (great blue-spotted mudskipper)
136,malb,43700,,monopterus albus (swamp eel)
137,sasa,8030,salsa,salmo salar (atlantic salmon)
138,otw,74940,,oncorhynchus tshawytscha (chinook salmon)
139,salp,8036,,salvelinus alpinus (arctic char)
140,els,8010,,esox lucius (northern pike)
141,sfm,113540,,scleropages formosus (asian bonytongue)
142,pki,1676925,,paramormyrops kingsleyae
143,lcm,7897,latch,latimeria chalumnae (coelacanth)
144,cmk,7868,calmi,callorhinchus milii (elephant shark)
145,rtp,259920,,rhincodon typus (whale shark)
146,bfo,7739,brafl,branchiostoma floridae (florida lancelet)
147,cin,7719,cioin,ciona intestinalis (sea squirt)
148,spu,7668,strpu,strongylocentrotus purpuratus (purple sea urchin)
149,aplc,133434,,acanthaster planci (crown-of-thorns starfish)
150,sko,10224,,saccoglossus kowalevskii (acorn worm)
151,dme,7227,drome,drosophila melanogaster (fruit fly)
152,der,7220,droer,drosophila erecta
153,dse,7238,drose,drosophila sechellia
154,dsi,7240,drosi,drosophila simulans
155,dya,7245,droya,drosophila yakuba
156,dan,7217,droan,drosophila ananassae
157,dsr,7274,,drosophila serrata
158,dpo,46245,drops,drosophila pseudoobscura pseudoobscura mv2-25
159,dpe,7234,drope,drosophila persimilis
160,dmn,7229,,drosophila miranda msh22
161,dwi,7260,drowi,drosophila willistoni
162,dgr,7222,drogr,drosophila grimshawi
163,dmo,7230,dromo,drosophila mojavensis
164,daz,7263,,drosophila arizonae
165,dnv,7232,,drosophila navojoa
166,dhe,7224,,drosophila hydei
167,dvi,7244,drovi,drosophila virilis
168,mde,7370,musdo,musca domestica (house fly)
169,lcq,7375,,lucilia cuprina (australian sheep blowfly)
170,aga,180454,anoga,anopheles gambiae pest (african malaria mosquito)
171,aag,7159,aedae,aedes aegypti (yellow fever mosquito)
172,aalb,7160,,aedes albopictus (asian tiger mosquito)
173,cqu,7176,culqu,culex quinquefasciatus (southern house mosquito)
174,ame,7460,apime,apis mellifera (honey bee)
175,bim,132113,,bombus impatiens (common eastern bumble bee)
176,bter,30195,bomte,bombus terrestris (buff-tailed bumblebee)
177,ccal,156304,,ceratina calcarata (carpenter bee)
178,obb,1437191,,osmia bicornis bicornis
179,soc,13686,solin,solenopsis invicta (red fire ant)
180,mpha,307658,,monomorium pharaonis (pharaoh ant)
181,aec,103372,acrec,acromyrmex echinatior (panamanian leafcutter ant)
182,acep,12957,,atta cephalotes (leaf cutting ant)
183,pbar,144034,,pogonomyrmex barbatus
184,vem,411798,,vollenhovia emeryi
185,hst,610380,harsa,harpegnathos saltator (jerdon's jumping ant)
186,dqu,609295,,dinoponera quadriceps
187,cfo,104421,camfo,camponotus floridanus (florida carpenter ant)
188,lhu,83485,,linepithema humile (argentine ant)
189,pgc,219809,,pseudomyrmex gracilis
190,obo,2015173,,ooceraea biroi (clonal raider ant)
191,pcf,91411,,polistes canadensis
192,nvi,7425,nasvi,nasonia vitripennis asymcx (jewel wasp)
193,csol,326594,,ceratosolen solmsi marchali
194,mdl,69319,,microplitis demolitor
195,tca,7070,trica,tribolium castaneum (red flour beetle)
196,dpa,77166,,dendroctonus ponderosae (mountain pine beetle)
197,atd,116153,,aethina tumida (small hive beetle)
198,nvl,110193,,nicrophorus vespilloides
199,bmor,7091,bommo,bombyx mori (domestic silkworm)
200,bman,7092,,bombyx mandarina (wild silkworm)
201,dpl,278856,,danaus plexippus plexippus (monarch butterfly)
202,pmac,76193,,papilio machaon (common yellow swallowtail)
203,prap,64459,,pieris rapae (cabbage white)
204,haw,29058,,helicoverpa armigera (cotton bollworm)
205,tnl,7111,,trichoplusia ni (cabbage looper)
206,pxy,51655,pluxy,plutella xylostella (diamondback moth)
207,api,7029,acypi,acyrthosiphon pisum (pea aphid)
208,dnx,143948,,diuraphis noxia (russian wheat aphid)
209,ags,80765,,aphis gossypii (cotton aphid)
210,rmd,43146,,rhopalosiphum maidis (corn leaf aphid)
211,btab,7038,,bemisia tabaci (sweet potato whitefly)
212,clec,79782,,cimex lectularius harlan
213,phu,121224,,pediculus humanus corporis (human body louse)
214,zne,136037,,zootermopsis nevadensis
215,fcd,158441,,folsomia candida
216,dpx,6669,dappu,daphnia pulex (common water flea)
217,pvm,6689,,penaeus vannamei (pacific white shrimp)
218,isc,6945,,ixodes scapularis (black-legged tick)
219,tut,32264,,tetranychus urticae (two-spotted spider mite)
220,dpte,6956,,dermatophagoides pteronyssinus (european house dust mite)
221,cscu,218467,,centruroides sculpturatus (bark scorpion)
222,ptep,114398,,parasteatoda tepidariorum goettingen (common house spider)
223,cel,6239,caeel,caenorhabditis elegans (nematode)
224,cbr,6238,caebr,caenorhabditis briggsae af16
225,bmy,6279,bruma,brugia malayi (filaria)
226,loa,7209,loalo,loa loa (eye worm)
227,nai,51031,,necator americanus
228,tsp,6334,,trichinella spiralis
229,hro,6412,helro,helobdella robusta
230,lgi,225164,lotgi,lottia gigantea (owl limpet)
231,pcan,400727,,pomacea canaliculata (golden apple snail)
232,crg,29159,cragi,crassostrea gigas (pacific oyster)
233,myi,6573,,mizuhopecten yessoensis (yesso scallop)
234,obi,37653,octbm,octopus bimaculoides
235,lak,7574,,lingula anatina
236,smm,6183,,schistosoma mansoni
237,shx,6185,,schistosoma haematobium
238,ovi,6198,,opisthorchis viverrini
239,egl,6210,,echinococcus granulosus
240,nve,45351,nemve,nematostella vectensis (starlet sea anemone)
241,epa,2652724,,exaiptasia diaphana
242,adf,70779,acrdi,acropora digitifera (stony coral)
243,amil,45264,,acropora millepora
244,pdam,46731,,pocillopora damicornis (lace coral)
245,spis,50429,,stylophora pistillata
246,dgt,151771,,dendronephthya gigantea (soft corals)
247,hmg,6087,hydma,hydra vulgaris
248,tad,10228,triad,trichoplax adhaerens
249,aqu,400682,,amphimedon queenslandica (sponge)
250,ath,3702,arath,arabidopsis thaliana (thale cress)
251,aly,81972,,arabidopsis lyrata subsp. lyrata (lyrate rockcress)
252,crb,81985,,capsella rubella
253,csat,90675,,camelina sativa (false flax)
254,eus,72664,thesl,eutrema salsugineum
255,brp,3711,bracm,brassica rapa (field mustard)
256,bna,3708,brana,brassica napus (rape)
257,boe,109376,,brassica oleracea var. oleracea (wild cabbage)
