"baseMean","baseVar","allZero","dispGeneEst","dispGeneIter","dispFit","dispersion","dispIter","dispOutlier","dispMAP","Intercept","condition_A_vs_B","SE_Intercept","SE_condition_A_vs_B","WaldStatistic_Intercept","WaldStatistic_condition_A_vs_B","WaldPvalue_Intercept","WaldPvalue_condition_A_vs_B","betaConv","betaIter","deviance","maxCooks"
"gene-GALLO_RS00005",4598.53998056734,126073.85983033,FALSE,0.00510944923920584,4,0.0540104654455531,0.0151994173530496,8,FALSE,0.0151994173530496,12.1109860864179,0.109920006288785,0.103395327177615,0.146268122423878,117.132818445589,0.751496665625075,0,0.452353806727169,TRUE,2,88.5597117568918,0.0923794969223171
"gene-GALLO_RS00010",5018.81246970657,128044.604733517,FALSE,0.00411346797568311,8,0.0539526363077968,0.0141721590092227,9,FALSE,0.0141721590092227,12.2390907898495,0.10628522956363,0.099827544790226,0.141221460477945,122.602342024622,0.752613867636843,0,0.451681981856441,TRUE,2,89.0475979874683,0.0614939744426055
"gene-GALLO_RS00015",7315.09605363725,2064213.85531048,FALSE,0.038272665648287,5,0.0537540079695214,0.0415115106268955,8,FALSE,0.0415115106268955,12.7293490024843,0.207316533935247,0.169985195006267,0.240399241724537,74.8850451476964,0.86238430890228,0,0.388476072254142,TRUE,3,102.102835424329,0.631816647495624
"gene-GALLO_RS00020",756.756219767213,42495.792883141,FALSE,0.0819076732454271,4,0.0575163179468948,0.0729959371141647,9,FALSE,0.0729959371141647,9.5022446778537,0.121101642099571,0.227003708743135,0.321145120783745,41.8594248105696,0.377093202612035,0,0.706104342504049,TRUE,3,79.2742295013079,0.482238974157725
"gene-GALLO_RS00025",4830.97284600171,1416377.84376412,FALSE,0.0604800817446764,5,0.053977239322976,0.0626148300447287,8,FALSE,0.0626148300447287,12.1612472442208,0.149915228410901,0.208762862801689,0.295249787502306,58.25388232855,0.507757277927694,0,0.61162357404361,TRUE,3,100.356319678596,0.382802184181044
"gene-GALLO_RS00030",261.013844385553,5584.61353318979,FALSE,0.0995929338132231,5,0.065486590828713,0.0866087221053824,8,FALSE,0.0866087221053824,8.05736429533918,-0.0576850283863118,0.250005164112541,0.354325097222914,32.2287914489323,-0.162802547260774,6.97470534896603e-228,0.870673902604311,TRUE,3,67.744914377409,0.323864257965884
"gene-GALLO_RS00035",2963.15025913338,744109.378625298,FALSE,0.0844073957166471,4,0.0543916052546954,0.0764636961538226,7,FALSE,0.0764636961538226,11.3936116995825,0.266441840785052,0.230843605007989,0.326454354845943,49.3564103679121,0.816168744052406,0,0.41440363070715,TRUE,3,95.9939643077979,0.154520573762774
"gene-GALLO_RS00040",484.678270395678,14722.4363328101,FALSE,0.0449410925092897,7,0.0598720206862203,0.0493078476128874,8,FALSE,0.0493078476128874,8.71972810760701,0.378996263694638,0.189036397129398,0.26706548358127,46.1272444884688,1.41911361443048,0,0.155865895376803,TRUE,3,70.809078627083,0.732563799834189
"gene-GALLO_RS00045",604.70586366812,3538.23000881096,FALSE,0.00587391054706667,4,0.0585714916333778,0.0188498568984169,9,FALSE,0.0188498568984169,9.16687704388404,0.141254581184902,0.119150027096045,0.16872125165812,76.9355850544185,0.837206811807714,0,0.40247632922321,TRUE,2,66.0348022933409,0.14794629259878
"gene-GALLO_RS00050",790.136877302437,6646.23971307465,FALSE,0.00484622671843346,4,0.0573390324347941,0.0173916477651821,8,FALSE,0.0173916477651821,9.53089448798935,0.183068572374323,0.113734483175123,0.160940709461616,83.7995146407282,1.13749077524716,0,0.255333178745172,TRUE,2,68.5740580570036,0.121390901719663
"gene-GALLO_RS00055",2.52056773195815,4.41596185540002,FALSE,0.300566575820462,6,1.31322638429679,0.819923835008007,8,FALSE,0.819923835008007,1.77984472874876,-1.18544361898577,0.869545147609383,1.34952081847501,2.04686868030031,-0.878418178331881,0.0406709799775677,0.37971682288748,TRUE,5,24.0442060581395,0.871670795916451
"gene-GALLO_RS00060",3012.23842457672,122606.316559995,FALSE,0.000802201024385867,3,0.0543741401789904,0.0102861821959236,7,FALSE,0.0102861821959236,11.4028454475876,0.292561037710712,0.085871850228496,0.121402601161146,132.789096977016,2.40984159245793,0,0.0159594481712756,TRUE,2,80.3147629987551,0.0261552576813959
"gene-GALLO_RS00065",1296.0627392913,3591.41986627201,FALSE,0.00149073241112786,4,0.0557701326147156,0.0123014826721993,8,FALSE,0.0123014826721993,10.3595054517353,-0.0398860061480119,0.0949956551748041,0.134723741256216,109.052413320089,-0.296057738421598,0,0.76718598778333,TRUE,2,71.7361117051506,0.0321054100446172
"gene-GALLO_RS00070",3722.20361828561,126525.667585392,FALSE,0.00611712500438929,7,0.0541730530486431,0.0165844372463985,5,FALSE,0.0165844372463985,11.9414337304034,-0.163484828861419,0.108026099664198,0.152942119767766,110.542116835873,-1.06893267276314,0,0.285100008255189,TRUE,2,86.7169196865304,0.0706313501125682
"gene-GALLO_RS00075",18953.1926198422,594854.490908221,FALSE,0.0016026959892124,4,0.0534874349221728,0.0109075294648864,8,FALSE,0.0109075294648864,14.2192553284827,-0.0182763786025572,0.0871851598662524,0.123324717452354,163.092610603639,-0.148197206367963,0,0.882187136470226,TRUE,2,102.881839486496,0.0318707595740295
"gene-GALLO_RS00080",388.717205664169,4754.89253511878,FALSE,0.0313359860730727,8,0.0614895212260637,0.0410444960474056,8,FALSE,0.0410444960474056,8.70281809875108,-0.206973039329051,0.173261957015856,0.246151019762458,50.229249678593,-0.840837626952694,0,0.400438904696481,TRUE,3,66.8708131028876,0.743641030202094
"gene-GALLO_RS00085",3710.61126053159,4105825.55489726,FALSE,0.398498409114853,8,0.0541757184516305,0.239927903148949,6,FALSE,0.239927903148949,12.0721760785752,-0.467347287699838,0.408177350103241,0.577331098957924,29.5758107977373,-0.809496125435465,3.05921254091665e-192,0.418229830592227,TRUE,4,106.72214047712,10.769222659345
"gene-GALLO_RS00090",200.81449557223,5570.88604444632,FALSE,0.143725980990355,4,0.069133877346467,0.113850476414389,6,FALSE,0.113850476414389,7.74154568168061,-0.192631096853161,0.286345003714859,0.406227753158168,27.0357281644404,-0.474194821391632,5.62143630297195e-161,0.63536098591384,TRUE,3,66.5475515835493,0.750229090081036
"gene-GALLO_RS00095",10843.4269404858,23219713.4229004,FALSE,0.277140926508365,8,0.053612747903323,0.178377601726808,7,FALSE,0.178377601726808,13.5992585713761,-0.419985420723772,0.351864035832003,0.497640811084441,38.6491860107835,-0.843952930244116,0,0.398695708819307,TRUE,3,117.691315599572,1.41781552346201
"gene-GALLO_RS00100",0.314788716531504,0.237957199262284,FALSE,1e-08,28,10.1416092969701,8.4085600519598,6,FALSE,8.4085600519598,-0.671675189600524,-1.66118137029015,2.61877039142766,3.75220033024597,-0.256484948737469,-0.442721929556798,0.797576401003731,0.657966878531588,TRUE,4,11.2012616183487,0.259461314806395
"gene-GALLO_RS00105",32.155607074367,106.574924981806,FALSE,0.0930264284238788,4,0.152079629911226,0.117263537113466,6,FALSE,0.117263537113466,4.94338673175442,0.117020263231703,0.319774264965189,0.454085469604493,15.4589886471713,0.257705368404823,6.56207261378125e-54,0.796634302632363,TRUE,3,44.3495325944559,0.315789908547045
"gene-GALLO_RS00110",53.3357433982347,622.775275298707,FALSE,0.231923118680525,8,0.112861184462669,0.181289857404263,8,FALSE,0.181289857404263,5.98067990405472,-0.552145266113582,0.368729252130357,0.528461967722065,16.2197055685193,-1.04481552096096,3.65944755034643e-59,0.296108240007773,TRUE,3,53.395155410411,0.714356533466636
"gene-GALLO_RS00115",147.271679285206,1302.8721514066,FALSE,0.0670387898765729,8,0.0748832916219413,0.0699352918397044,8,FALSE,0.0699352918397044,7.26888115642717,-0.139146766788315,0.229543967394469,0.326505313290463,31.6666181165009,-0.426169992108301,4.47864170313984e-220,0.669983981729726,TRUE,3,59.2428617426195,0.24616235015944
