"A1","A2","A3","B1","B2","B3"
"gene-GALLO_RS00005",4863.5324126508,4266.49940929449,4140.22348287427,5084.66425819415,4655.28589834179,4581.03442204855
"gene-GALLO_RS00010",4899.22806338585,5161.83468029878,4441.5932387207,5096.5772095978,5533.35462863852,4980.28699759778
"gene-GALLO_RS00015",6462.69756558111,8005.24173019968,5904.1512551128,7013.47939000326,9877.15437189033,6627.85200903629
"gene-GALLO_RS00020",647.876060841189,924.963739124391,602.739511692859,553.410742478639,1083.04094154846,728.506322917738
"gene-GALLO_RS00025",3685.57593839409,5701.62833386186,4353.97455571104,3724.42180701377,6717.53906307539,4802.69737795413
"gene-GALLO_RS00030",208.819556800053,333.320266351132,257.078993006379,162.449337322497,360.71528879672,243.699624036539
"gene-GALLO_RS00035",2043.57600458171,3392.45959975152,2635.300388983,2149.74623056771,4322.31793945251,3235.50139146383
"gene-GALLO_RS00040",410.499983453095,502.758068412957,351.437574709095,440.779201935041,703.52907442735,499.065719436529
"gene-GALLO_RS00045",593.440193470235,541.645432820589,589.259714306757,609.726512750438,577.323477106413,716.839851554287
"gene-GALLO_RS00050",729.083666263431,703.67611785239,786.642461746112,791.669770551634,791.246439941192,938.502807459862
"gene-GALLO_RS00055",1.78478253675259,2.77766888625943,5.77705602261526,0,0.895075158304516,3.88882378781711
"gene-GALLO_RS00060",2744.1031502571,2690.63526115664,2688.25673585697,3166.67908220654,3290.2962819274,3493.4600360557
"gene-GALLO_RS00065",1298.42929548751,1379.57554684218,1263.24958361187,1229.19998574023,1251.31507130971,1354.60695275629
"gene-GALLO_RS00070",3957.75527524886,4250.75928560569,3590.44031805539,3798.06550659997,3477.36699001304,3258.83433419074
"gene-GALLO_RS00075",20038.6459313897,17960.4070185535,19220.265387241,19361.7950176773,18196.8779683308,18941.1643958612
"gene-GALLO_RS00080",410.499983453095,410.169105537643,429.427831014401,467.854091488791,335.653184364194,278.699038126893
