"A1","A2","A3","B1","B2","B3"
"gene-GALLO_RS00005",5450,4608,4300,4695,5201,3534
"gene-GALLO_RS00010",5490,5575,4613,4706,6182,3842
"gene-GALLO_RS00015",7242,8646,6132,6476,11035,5113
"gene-GALLO_RS00020",726,999,626,511,1210,562
"gene-GALLO_RS00025",4130,6158,4522,3439,7505,3705
"gene-GALLO_RS00030",234,360,267,150,403,188
"gene-GALLO_RS00035",2290,3664,2737,1985,4829,2496
"gene-GALLO_RS00040",460,543,365,407,786,385
"gene-GALLO_RS00045",665,585,612,563,645,553
"gene-GALLO_RS00050",817,760,817,731,884,724
"gene-GALLO_RS00055",2,3,6,0,1,3
"gene-GALLO_RS00060",3075,2906,2792,2924,3676,2695
"gene-GALLO_RS00065",1455,1490,1312,1135,1398,1045
"gene-GALLO_RS00070",4435,4591,3729,3507,3885,2514
"gene-GALLO_RS00075",22455,19398,19962,17878,20330,14612
"gene-GALLO_RS00080",460,443,446,432,375,215
"gene-GALLO_RS00085",3730,5135,5022,1501,1395,4992
"gene-GALLO_RS00090",182,173,332,115,194,204
"gene-GALLO_RS00095",11824,14170,14083,6486,4191,13156
"gene-GALLO_RS00100",0,1,1,0,0,0
"gene-GALLO_RS00105",33,47,20,23,34,35
"gene-GALLO_RS00110",48,68,87,30,24,59
"gene-GALLO_RS00115",128,208,162,92,159,138
"gene-GALLO_RS00120",24,33,29,10,29,25
"gene-GALLO_RS00125",111,183,159,51,145,111
"gene-GALLO_RS00130",50,92,86,28,70,56
"gene-GALLO_RS00135",361,661,481,284,620,426
"gene-GALLO_RS00140",21,44,25,16,27,26
"gene-GALLO_RS00145",35,64,57,15,61,29
"gene-GALLO_RS00150",111,172,108,64,155,84
"gene-GALLO_RS00155",307,406,232,351,478,362
"gene-GALLO_RS00160",1137,1874,1191,240,753,797
"gene-GALLO_RS00165",131,315,180,62,178,152
"gene-GALLO_RS00170",97,149,89,62,138,100
"gene-GALLO_RS00175",59,64,53,42,88,36
"gene-GALLO_RS00180",60,87,73,75,77,85
"gene-GALLO_RS00185",168,224,143,77,189,139
"gene-GALLO_RS00190",5015,4281,4385,4489,5923,4703
"gene-GALLO_RS00195",1620,1256,1071,1614,2276,1552
"gene-GALLO_RS00200",82025,66229,79146,58065,65139,56884
"gene-GALLO_RS00205",10945,8686,10512,9406,10139,8919
"gene-GALLO_RS00210",3689,2854,2878,3192,3040,1885
"gene-GALLO_RS00215",1598,1315,1361,1387,1440,904
"gene-GALLO_RS00220",1253,1184,1344,977,1102,767
"gene-GALLO_RS00225",282,262,274,178,223,156
"gene-GALLO_RS00230",278,287,260,247,300,190
"gene-GALLO_RS00235",4081,4511,3727,3443,6475,3202
"gene-GALLO_RS00240",1506,1949,1579,1072,2791,1372
"gene-GALLO_RS00245",969,1463,1107,838,2173,1038
"gene-GALLO_RS00250",455,640,494,387,1141,536
"gene-GALLO_RS00255",788,1181,942,558,1762,799
"gene-GALLO_RS00260",1929,3411,2604,1573,5308,2308
"gene-GALLO_RS00265",1465,4329,1621,1221,4436,1317
"gene-GALLO_RS00270",301,793,421,185,720,310
"gene-GALLO_RS00275",388,808,436,300,953,344
"gene-GALLO_RS00280",1489,2546,1489,1279,3523,1462
"gene-GALLO_RS00285",1702,1530,1299,1568,2167,1325
"gene-GALLO_RS00290",5842,7740,6356,4917,9227,5136
"gene-GALLO_RS00295",175,165,130,155,178,126
"gene-GALLO_RS00305",1745,1134,1147,1700,1308,857
"gene-GALLO_RS00310",534,431,484,327,407,320
"gene-GALLO_RS00315",7018,6664,5835,6217,7551,4663
"gene-GALLO_RS00320",8459,13193,8127,6917,13627,6200
"gene-GALLO_RS00325",763,1124,829,599,1533,712
"gene-GALLO_RS00330",152,221,155,140,283,106
"gene-GALLO_RS00335",751,783,585,589,706,384
"gene-GALLO_RS00340",341,394,309,246,367,212
"gene-GALLO_RS00345",1187,1192,1027,1089,1184,618
