"A1","A2","A3","B1","B2","B3"
"gene-GALLO_RS00005",12.2593346089908,12.0719876087012,12.0290416851081,12.3229833333907,12.1967131112467,12.1737109639264
"gene-GALLO_RS00010",12.2698009043792,12.3445505356374,12.1294970105415,12.32633382257,12.4440941651085,12.2932898646649
"gene-GALLO_RS00015",12.6666224609338,12.9737603085921,12.5370348075241,12.7839358017984,13.2755822151355,12.7028114923548
"gene-GALLO_RS00020",9.42306242982789,9.91247452931628,9.32485260057178,9.2092584829235,10.1316719643595,9.58339035396293
"gene-GALLO_RS00025",11.8628813624529,12.4870155824111,12.1010052911559,11.8778503738192,12.7220901039423,12.2413203474752
"gene-GALLO_RS00030",7.94498081174908,8.53700550892226,8.20425915560229,7.64159390968454,8.63992403241766,8.13696438092066
"gene-GALLO_RS00035",11.0241345991651,11.7446256441646,11.3849531140095,11.0958769440577,12.0905712708135,11.6770770702222
"gene-GALLO_RS00040",8.80993778004873,9.08003584043308,8.60588914243419,8.90429159182506,9.53560484234822,9.07014633820545
"gene-GALLO_RS00045",9.30375916810391,9.18026121222134,9.29417506348863,9.34050022013161,9.26645379750422,9.56126761105235
"gene-GALLO_RS00050",9.58447637942636,9.53589084910189,9.68883583580972,9.69760186234914,9.69686576105489,9.93260962916361
"gene-GALLO_RS00055",4.72514617075359,4.83143925583378,5.06554514710245,4.29119367100111,4.59908073785575,4.92896366352532
"gene-GALLO_RS00060",11.4424885892692,11.4145011658926,11.4132434378818,11.6464310774291,11.7010196373091,11.7864772753281
"gene-GALLO_RS00065",10.3851069285291,10.4701119771986,10.3466379165264,10.3084011206555,10.3333508742471,10.4444856402343
"gene-GALLO_RS00070",11.964635530039,12.066703686895,11.8255517540983,11.9058091021448,11.779889570031,11.6873209915325
"gene-GALLO_RS00075",14.2933124057002,14.1356726248504,14.2332753148919,14.2438383490858,14.1545027873673,14.212215256756
"gene-GALLO_RS00080",8.80993778004873,8.80887173610415,8.86964085968092,8.98371703559211,8.54606316715199,8.30672413389618
"gene-GALLO_RS00085",11.7175318388434,12.2268697820515,12.2510308696688,10.7008757156812,10.330344386752,12.6684641611404
"gene-GALLO_RS00090",7.64134493781039,7.62493359465841,8.48280463606058,7.33382913904462,7.72099431589906,8.23997564158337
"gene-GALLO_RS00095",13.370517825335,13.6837604592531,13.7311961860289,12.7861495243316,11.8881023139853,14.0611115105354
"gene-GALLO_RS00100",4.29119367100111,4.60431529720492,4.61047775009155,4.29119367100111,4.29119367100111,4.29119367100111
"gene-GALLO_RS00105",5.96508642856279,6.2806437142552,5.66902731429062,5.84263197082139,5.99001380597938,6.31683543922395
"gene-GALLO_RS00110",6.26705763742413,6.6178646066482,6.90355035961491,6.04052751645021,5.74065426876384,6.8102036047782
"gene-GALLO_RS00115",7.23689228930113,7.84596592465599,7.59359929599797,7.08718087412593,7.4865246538065,7.756692272875
"gene-GALLO_RS00120",5.73864538153437,5.99306449814536,5.92533169083458,5.34088402434135,5.87207578694734,6.03853007463202
"gene-GALLO_RS00125",7.08088063369102,7.6916778397905,7.57163047496267,6.49404860298315,7.38061298874965,7.49924563996203
"gene-GALLO_RS00130",6.3023078981609,6.92095316571744,6.89157670085957,5.98728519970759,6.61318721627076,6.75763383615608
"gene-GALLO_RS00135",8.49283893887358,9.34558427797878,8.9701631108658,8.43303683629927,9.21300107612835,9.20633298638554
"gene-GALLO_RS00140",5.65169216069182,6.22437574683143,5.81854113170493,5.6028014524219,5.82132646275623,6.06935472266164
"gene-GALLO_RS00145",6.00993794764862,6.55996843955441,6.48814353522128,5.56369068948947,6.48336887570043,6.15742116865461
"gene-GALLO_RS00150",7.08088063369102,7.61808273797186,7.13354286106855,6.71165184557908,7.45706912832793,7.18396085506632
"gene-GALLO_RS00155",8.28490270610185,8.69398344923884,8.02828246128181,8.7086428923099,8.86474501247686,8.98769946767979
"gene-GALLO_RS00160",10.0408950002513,10.7928374380035,10.211376301522,8.21814475166951,9.47697006232682,10.0659951605549
"gene-GALLO_RS00165",7.26269626356268,8.36478824993338,7.71869634117115,6.68039920332783,7.6186045284237,7.87379104829646
"gene-GALLO_RS00170",6.93772188580124,7.45057695046284,6.92718777108573,6.68039920332783,7.32450278394317,7.37922143253702
"gene-GALLO_RS00175",6.4499471470399,6.55996843955441,6.42148576687564,6.3190714616947,6.8401867109964,6.34156026225687
"gene-GALLO_RS00180",6.46536000936115,6.86315367948818,6.72549754051162,6.87170045437956,6.70606468366178,7.19699833308027
"gene-GALLO_RS00185",7.54711903842806,7.93658814777553,7.44831123220405,6.89887888908448,7.68978526709013,7.76538423527814
"gene-GALLO_RS00190",12.140323069411,11.9667918760443,12.0570210374155,12.2587561698832,12.382790241004,12.5829590475585
"gene-GALLO_RS00195",10.5358318629928,10.2309274320588,10.0633993096951,10.8032409464898,11.0197042124844,11.0019627408602
"gene-GALLO_RS00200",16.1602958192657,15.9050083900841,16.218341824849,15.9413064678801,15.8322831043436,16.1708724723553
"gene-GALLO_RS00205",13.2594990994545,12.9803871637458,13.3106868029614,13.3199226847593,13.1539132693294,13.5019114260624
"gene-GALLO_RS00210",11.7017713377451,11.3888261122911,11.4563963460255,11.7714767289958,11.4304768445382,11.2775664251637
"gene-GALLO_RS00215",10.5166223757639,10.295076279589,10.3979972128139,10.5896726839782,10.3747965121993,10.2415929316293
"gene-GALLO_RS00220",10.1761629610238,10.148568724693,10.3803851393801,10.0992085345407,10.0016274515112,10.0126642423173
"gene-GALLO_RS00225",8.17735521461021,8.13120255210695,8.2369960850838,7.84715396344447,7.889608851162,7.90554994346961
"gene-GALLO_RS00230",8.15937144576147,8.24614550736875,8.17075520369285,8.25456411290827,8.25940671494683,8.15025410508268
"gene-GALLO_RS00235",11.8458434301151,12.0415749911688,11.8247860835293,11.8795100901705,12.5104434633286,12.0326438461863
"gene-GALLO_RS00240",10.4333986252527,10.8482378309489,10.6066269352125,10.228588631162,11.3089991054753,10.8276878212628
"gene-GALLO_RS00245",9.81931649928897,10.444454133394,10.1094085116109,9.88615702418164,10.9541686673548,10.4350587045263
"gene-GALLO_RS00250",8.79549496120249,9.30176796706145,9.00578027264415,8.83743304797016,10.0499520345342,9.51853008089454
"gene-GALLO_RS00255",9.5349729766249,10.1450328810811,9.88531409375086,9.32838805194229,10.6582490750048,10.0694813805142
"gene-GALLO_RS00260",10.7816563226348,11.6426142649898,11.3141575927676,10.7669337859562,12.2258508390875,11.5654982503827
"gene-GALLO_RS00265",10.3947042115035,11.9827221051016,10.6435723324531,10.4106769932205,11.9692478852555,10.769946077847
"gene-GALLO_RS00270",8.25981899921956,9.59412190218448,8.79327696627999,7.89421030866582,9.4158469683184,8.78178946381459
"gene-GALLO_RS00275",8.58649277614337,9.61983206772036,8.83958036267801,8.50382407755411,9.80046904142299,8.91970900808065
"gene-GALLO_RS00280",10.4174804020217,11.2265999885186,10.5241198203869,10.475772991492,11.640419651071,10.9174557340467
"gene-GALLO_RS00285",10.6052579521526,10.5073037331586,10.3326992802112,10.7624429005863,10.950257711789,10.7784899036764
"gene-GALLO_RS00290",12.3587703267506,12.814880707344,12.5884622939735,12.3891405062368,13.0185425809232,12.7092488338451
"gene-GALLO_RS00295",7.59501706229774,7.56917404400177,7.33949096395121,7.68055468831687,7.6186045284237,7.64800808843814
"gene-GALLO_RS00305",10.6403710177068,10.0884750880348,10.1588647776832,10.8765518447912,10.2403122849489,10.1670803984962
"gene-GALLO_RS00310",9.00828696873684,8.77260764171179,8.97846108261888,8.61588479406778,8.65284542945898,8.82374552571626
"gene-GALLO_RS00315",12.6215706813598,12.6001971762146,12.4658918670669,12.725384111553,12.7308549614456,12.5707148727544
"gene-GALLO_RS00320",12.8894743212503,13.5810107526032,12.9410715496496,12.8784698642306,13.5788814995254,12.9794273220148
"gene-GALLO_RS00325",9.49088831796836,10.0761498412894,9.70890355380356,9.4248245421396,10.4625385040432,9.90945182060227
"gene-GALLO_RS00330",7.4311152000792,7.92003012615382,7.54179682388413,7.56029764747921,8.18560182266816,7.44595519984233
"gene-GALLO_RS00335",9.469238707617,9.57672333242085,9.23309922952914,9.4018920297193,9.38911128748703,9.06665824313646
"gene-GALLO_RS00340",8.41929707257495,8.65465839424017,8.39031021439574,8.24941776535969,8.51807821502838,8.28882652292182
"gene-GALLO_RS00345",10.100762496662,10.1579554676327,10.0050957700127,10.2505642043265,10.1014202001724,9.71389877659916
"gene-GALLO_RS00350",8.85241534553092,9.18945230991421,8.86068852783985,9.13885994186712,9.11614765778084,8.77752569282624
"gene-GALLO_RS00360",14.1260447271683,13.6961925710875,14.2561017418636,14.1100114877289,14.2791145840667,14.720483111223
"gene-GALLO_RS00365",14.5161001478908,14.2422154140621,14.6538983333152,14.1716766634832,14.5499038656989,15.0099306898725
"gene-GALLO_RS00370",14.5784714665919,14.076826072253,14.4963983107718,14.5088964596581,14.6597474444551,14.9663726978107
"gene-GALLO_RS00375",13.4048727669967,12.8180288070081,13.2997079511581,13.0426412912812,13.2655200452968,13.7393521241802
"gene-GALLO_RS00380",15.3068159585439,14.7942181100434,15.1942134009913,15.087250872587,15.3238567338312,15.6773387112095
"gene-GALLO_RS00385",13.1917645216883,12.5016009004375,13.0802189254326,12.8206828874774,13.0309387492544,13.5693102219581
"gene-GALLO_RS00390",13.8606152325794,13.1189692864911,13.5118582317177,13.6222184379615,13.6868163891879,14.1719509467909
"gene-GALLO_RS00395",15.0341881946146,14.2585278765382,14.5924735084423,14.9987753719906,14.9115738139725,15.2921723024845
"gene-GALLO_RS00400",14.035562718282,13.2470479820412,13.6044353546773,13.8107049473955,13.845505103098,14.193771261392
"gene-GALLO_RS00405",11.4862296514019,10.6023199348287,10.9791189810869,10.9853778168361,10.977414296401,11.4552567769873
"gene-GALLO_RS00410",13.7335793032201,12.8024061666504,13.1945781249442,13.2219368687781,13.2556512954351,13.8995480828711
"gene-GALLO_RS00415",13.0802353794883,12.4149748949517,12.9053044042797,12.4917210898388,12.7773968054624,13.2848599998068
"gene-GALLO_RS00420",13.4102045470304,12.6004122900759,12.947240638264,12.9116977331437,12.9866007660859,13.5808032248251
"gene-GALLO_RS00425",14.9559807147621,13.9460801639648,14.2303151436047,14.8575022856308,14.617733145936,15.0782856775693
"gene-GALLO_RS00430",13.6361269970864,12.5600600800758,12.8133480920746,13.4763029385435,13.2469105993692,13.6105625311547
"gene-GALLO_RS00435",14.5102087438034,13.5392073202464,13.7856227438919,14.2296756155976,14.1021552156212,14.5860464017531
"gene-GALLO_RS00440",14.9416512859188,13.9685856780661,14.2631129930034,14.684001337805,14.6202477852118,15.0076616935286
"gene-GALLO_RS00445",13.8378468248855,12.8128400349648,13.0845431334495,13.6903455159396,13.5290643134484,13.9448424162754
"gene-GALLO_RS00450",14.3578919899852,13.5230715435279,13.7381255656565,13.9670821956357,13.9776899580435,14.4909747910645
"gene-GALLO_RS00455",12.8406393953009,11.7921064782056,11.918195693564,12.530530485083,12.4420070307101,12.8630067560508
"gene-GALLO_RS00460",14.4637300862353,13.6435135219112,13.7624195178274,14.1425132419553,14.1194535757067,14.509775612412
"gene-GALLO_RS00465",15.8860193803859,14.9254840522508,15.0558004947639,15.598060527205,15.5554727096851,15.9845658036433
"gene-GALLO_RS00470",11.4530896697914,10.725788262846,11.2246933208683,11.4509924720168,11.2503048103885,11.812188446913
"gene-GALLO_RS00475",14.014790632616,13.227265217356,13.6078886175922,14.2144686592375,14.0613447510294,14.4659054415408
"gene-GALLO_RS00480",11.9078027744923,11.2574851476925,11.6460474076716,11.2110880655275,11.5847496096896,12.2132384424104
"gene-GALLO_RS00485",13.6547143975731,13.1127998610466,13.3436653905699,13.205490251695,13.5740188379051,14.1477363286241
"gene-GALLO_RS00490",13.806649453569,13.1950089952985,13.4741475404392,13.5461496779735,13.7565868693689,14.1988519940704
"gene-GALLO_RS00495",15.5678592659469,14.9835374185222,15.1252677375877,15.5292550266681,15.6088527516212,16.0633920769147
"gene-GALLO_RS00500",14.0660580254226,13.556828280298,13.7746625975034,13.8511261018262,14.0999506862679,14.5506376328112
"gene-GALLO_RS00505",11.6586161377839,12.21960616977,12.2747724656027,10.6762578032897,10.2530697770544,12.6223464336519
"gene-GALLO_RS00510",7.80706556061505,7.75541918675727,8.55124678878685,7.31403033502074,7.79906359658669,8.06859532852563
"gene-GALLO_RS00515",13.3741601388495,13.6749018755309,13.7323193740328,12.7912282318563,11.8884429722773,14.0686410958931
"gene-GALLO_RS00520",4.29119367100111,4.60431529720492,4.29119367100111,4.29119367100111,4.59908073785575,4.29119367100111
"gene-GALLO_RS00525",5.89444626091805,6.14520082625035,5.70060533763174,5.77926759503222,5.59134487242296,6.2128333518271
"gene-GALLO_RS00530",7.16565087194724,7.36282829963031,7.26806780798274,6.80128380720261,7.44210693873713,7.47817085070678
"gene-GALLO_RS00535",7.29637633068924,7.42718377579869,7.44831123220405,7.26327169085756,7.41169636259023,8.15685290516635
"gene-GALLO_RS00540",7.6543075367863,8.08250547694546,7.73193791267952,7.78427034225229,8.10306589229655,8.22749779977468
"gene-GALLO_RS00545",10.0408950002513,10.9731127135913,10.3897359655904,8.38695142003222,9.71235011327318,10.1605574593526
"gene-GALLO_RS00550",7.32926437312668,8.2328303341091,7.83364530266083,6.6961164075418,7.54365051350586,8.07558143297805
"gene-GALLO_RS00555",6.24905833288528,7.01922050762135,6.75241090321575,6.27673459887261,6.95160445012339,6.90961046097246
"gene-GALLO_RS00560",5.96508642856279,6.72662774601895,6.04644688812337,5.52302072123212,5.79507618600194,5.75780930444057
"gene-GALLO_RS00565",6.40258345470166,6.76524743782312,6.64136624762989,6.33972509838164,6.49844041851167,6.66519379458608
"gene-GALLO_RS00570",7.12861328282102,7.7616385825344,7.97929266778716,6.64840090853529,7.9328083925802,8.18294760704072
"gene-GALLO_RS00575",7.3373670751476,7.94206498630441,7.82132306700516,6.51211604628476,7.86750724419307,8.02594495250003
"gene-GALLO_RS00580",6.94845651439902,7.95837029159789,7.59359929599797,6.95166752908262,7.81648594922903,7.83306869695967
"gene-GALLO_RS00585",9.72809701498335,9.49015440767269,9.93158426429144,9.84085391497243,9.39488228936495,9.62664217265941
"gene-GALLO_RS00590",9.84755192243657,10.0587155399763,9.72869565998588,9.59621891639342,10.1282135966186,9.74693848447836
"gene-GALLO_RS00595",10.1446551316749,10.5480290881302,10.2811509314992,10.0877642832123,10.5547232036282,10.1490708222893
"gene-GALLO_RS00600",10.4583248254564,10.7312998387619,10.6435723324531,10.2835391619583,10.9437157950149,10.7242413139536
"gene-GALLO_RS00605",12.8830122725699,12.8094945139671,12.9770074787244,12.984450088668,12.4698179078331,12.575012164687
"gene-GALLO_RS00610",13.0538313799403,13.0881617176718,13.2137131047696,13.0546275950705,13.1123749779255,13.0058147576172
"gene-GALLO_RS00615",15.3850176298799,14.9618518841756,15.1354534745317,15.3525789626618,15.3995993476603,15.4618839574757
"gene-GALLO_RS00620",15.4162091245407,14.7190943418718,15.1983573093693,15.30048926922,15.3303279581621,15.5239677033289
"gene-GALLO_RS00625",9.49088831796836,9.04501375248541,8.11646612711817,9.27132108072128,8.76715970008223,7.79114531838273
"gene-GALLO_RS00630",5.29252323722658,5.2647386480187,5.32973214422505,5.11124957789304,5.15090635875847,4.81332698966296
"gene-GALLO_RS00635",5.29252323722658,5.3104121316696,5.45635895116193,4.76886802855566,5.15090635875847,4.29119367100111
"gene-GALLO_RS00640",4.29119367100111,4.29119367100111,4.74181753845857,4.29119367100111,4.29119367100111,4.6613994095261
"gene-GALLO_RS00645",4.82168690666752,4.60431529720492,4.61047775009155,4.9637115014648,4.90353032781342,4.6613994095261
"gene-GALLO_RS00650",4.29119367100111,4.73315397128126,4.29119367100111,4.29119367100111,4.29119367100111,4.81332698966296
"gene-GALLO_RS00655",4.72514617075359,5.05088075133289,4.74181753845857,4.87490920458675,4.90353032781342,4.81332698966296
"gene-GALLO_RS00660",4.90262510919535,5.21646375832772,4.74181753845857,4.29119367100111,4.90353032781342,4.92896366352532
"gene-GALLO_RS00665",10.1982543344097,9.82383294673693,10.073751211466,10.2759962108493,9.63483506368961,9.95540128964076
"gene-GALLO_RS00670",11.5053999989131,12.1487142042651,11.7383865007777,11.6038929709657,11.8332419196697,12.8061734448825
"gene-GALLO_RS00675",6.49565157160406,6.65969242866368,6.69803553072754,6.27673459887261,6.5570575002446,6.66519379458608
"gene-GALLO_RS00680",7.1001714951935,6.70025249889506,6.73902134260911,6.80128380720261,6.81676784067598,6.5863559470461
"gene-GALLO_RS00685",7.43865226904621,7.09108115521236,6.95042422753677,6.64840090853529,7.2745514330072,7.14409862888207
"gene-GALLO_RS00690",7.51188294677104,7.59034249288242,7.41571705375234,7.19982057631248,7.43456573889225,7.5903689208358
"gene-GALLO_RS00695",11.627213541539,11.768561396114,11.5390124996268,11.7732633740695,11.830762460355,11.4532571960744
"gene-GALLO_RS00700",12.1808169770774,12.1995825818144,12.0905325038329,12.3653521299736,12.1801129380496,11.8486487299839
"gene-GALLO_RS11650",8.0316723714065,8.07256356269101,8.65507765610396,7.7626749401516,7.73328809328079,7.82478238003716
"gene-GALLO_RS00705",9.5122173763048,9.61131288390902,9.85562238326278,9.43615531541025,9.43277577862553,9.55630497184042
"gene-GALLO_RS00710",11.2728267155051,11.4990825205492,11.5799733958021,11.4692939583671,11.5438128626402,11.4358103984804
"gene-GALLO_RS00720",4.90262510919535,5.3104121316696,5.23412843248182,5.11124957789304,5.09682449985759,4.81332698966296
"gene-GALLO_RS00725",7.84140510212883,9.29326869294738,8.44332078988656,7.50917458892747,8.15861606377656,7.95189820055754
"gene-GALLO_RS00730",5.84485068030876,7.22450652024339,6.81743998173251,5.6028014524219,6.42128371351124,6.18543480042071
"gene-GALLO_RS00735",6.31957392136853,6.65969242866368,6.62681573606912,6.18756147308009,6.42128371351124,6.09941760413576
"gene-GALLO_RS00740",6.59650001599316,6.12459297357416,6.47179513909807,6.54752378828066,6.59937559263294,8.44776502215614
"gene-GALLO_RS00745",8.94167000517071,8.64130702677138,8.52879361753171,9.09376151899224,8.69092629985105,9.16453064817487
"gene-GALLO_RS00750",8.939045156242,8.60393735911716,8.64467820319603,8.8578191002498,8.80814738667525,9.34232291793368
"gene-GALLO_RS00755",8.24284888081327,8.03721118154458,8.17075520369285,8.57128146208417,8.58029383730553,8.73857146815059
"gene-GALLO_RS00760",9.46012111546125,9.31652203960512,9.49826680947702,9.54272052505561,9.49140523322068,10.0035807516463
"gene-GALLO_RS00765",6.53981828053977,10.4434950200614,6.17740540429731,6.25502542430876,10.3482900013094,12.840235385944
"gene-GALLO_RS00770",6.62395855823895,8.72595132643076,6.17740540429731,6.9255275010147,9.09502409782934,12.4515724443378
