"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-LEPBI_RS07970",291.48544085434,1.80656941953998,0.228094657782265,7.92026186454793,2.37010889436028e-15,4.65015365073486e-12
"gene-LEPBI_RS09245",2043.21942530623,-1.28968950934795,0.188499293556388,-6.84187980238848,7.81606592725234e-12,7.66756067463454e-09
"gene-LEPBI_RS18540",74.6045357253365,-2.33176095371661,0.376607532335104,-6.19148783153338,5.95989398133828e-10,3.89777066379524e-07
"gene-LEPBI_RS04695",2335.61554987058,1.1229212503747,0.200537985375375,5.59954388827022,2.14916519189349e-08,1.05416552662376e-05
"gene-LEPBI_RS15420",2076.99141740077,-0.96811232467039,0.20416259184701,-4.74186929109838,2.11755234741894e-06,0.000830927541127192
"gene-LEPBI_RS19120",83.01510703556,1.46888231233266,0.317451837361229,4.62710288446437,3.7081632968913e-06,0.00121256939808345
"gene-LEPBI_RS11575",9368.7244460233,-2.6112361447515,0.570529880243755,-4.57686132694026,4.72004116820651e-06,0.00132296011028874
"gene-LEPBI_RS17790",1685.52101959096,-2.05632429769518,0.485226354045621,-4.23786606096387,2.25654313916819e-05,0.00553417204880998
"gene-LEPBI_RS14350",5246.96467005696,-3.50641508090286,0.869103087013775,-4.0345214892181,5.47136829135819e-05,0.0107348245876448
"gene-LEPBI_RS16570",1459.27054094063,-1.90822285079157,0.472117849102743,-4.04183585606462,5.30343527080624e-05,0.0107348245876448
"gene-LEPBI_RS00710",2777.93116550555,-3.47315752377537,0.867460142494387,-4.00382375354824,6.23268057538677e-05,0.0111168357171899
"gene-LEPBI_RS05775",60.0215780122123,-1.81781142970256,0.460324725909474,-3.94897629300939,7.84861233034221e-05,0.0118453672247165
"gene-LEPBI_RS16280",459.514236942156,-2.04144542614977,0.515840568313736,-3.95751236244016,7.57343690253253e-05,0.0118453672247165
"gene-LEPBI_RS04230",71.1448290659598,-5.89605901177134,1.53944774760913,-3.82998320074736,0.000128152007462347,0.0179595884743661
"gene-LEPBI_RS17330",386.206251650885,-1.37110117346407,0.364882953968241,-3.75764655090851,0.00017151891714596,0.0224346743626916
"gene-LEPBI_RS18275",1841.82471656758,-0.709660530815388,0.196932707195384,-3.60356865511075,0.000313877789758087,0.0384892639690855
"gene-LEPBI_RS00420",92.5505940058816,-0.8374703096379,0.238686167591327,-3.5086671259132,0.000450358181944235,0.0454230403306804
"gene-LEPBI_RS01915",153.142892847605,-1.84597531243652,0.526944855572212,-3.50316601996612,0.000459762809008442,0.0454230403306804
"gene-LEPBI_RS12085",2559.83464649757,-2.06353892275754,0.589366897650797,-3.5012806640189,0.000463027934053826,0.0454230403306804
"gene-LEPBI_RS16555",2624.25454487651,-1.76581942394364,0.504197473727388,-3.50223774603518,0.00046136773185508,0.0454230403306804
"gene-LEPBI_RS17925",240.069005628451,-3.41512925988757,0.982475015858401,-3.47604692716153,0.00050886323666589,0.0475423652542131
"gene-LEPBI_RS17460",588.933642098367,-2.08524802368724,0.603092607751598,-3.45759174774385,0.000545026623387213,0.0485695418546791
"gene-LEPBI_RS17920",540.189205164716,-3.31816367335264,0.962958356855916,-3.44580183528033,0.000569367717970244,0.0485695418546791
"gene-LEPBI_RS17930",399.167696896591,-3.46924000258257,1.01170310576691,-3.42910877984578,0.00060556676521813,0.0495050830565821
"gene-LEPBI_RS09975",187.030378031105,0.758657333374746,0.22243631084421,3.41067216272119,0.000648029579317125,0.050857361384808
"gene-LEPBI_RS05510",196.310227109916,-1.69555082421097,0.515362966242325,-3.29001293316391,0.00100182777942505,0.0755994655089212
"gene-LEPBI_RS04890",103.111600812252,0.806163080577409,0.246188727040539,3.2745734959857,0.00105821608082482,0.0768970352066032
"gene-LEPBI_RS18085",778.93212343186,-1.66534624565048,0.510438058848183,-3.2625824363653,0.00110402057994184,0.0773602992087815
